                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     150                                     1493                  2.0000000000000000E+001                  2.0000000000000000E-002                  7.6137577017130991E+006                  1.3903951680784196E+003                  1.2506159759708647E+004                  1.1870509087435609E+005                  7.3492930380927291E+001                 -3.7833604447627471E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6925654127055216E-001                  6.1925518048582895E-003                  6.0428413222726133E-004                  3.5854197501880781E-004                  2.0539340379232777E-003                  2.0000000000000000E+001                  0.0000000000000000E+000                  9.2378732436957467E+000                  2.2939847780103397E-004                  1.0337424274556236E+001                  4.2749712707006150E-002                  1.0461102243071793E-001                  1.1116517936340151E-001                  4.1078844063764768E-002                  4.9742751488274859E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9999998562788161E+001                  7.2074944308612942E+001                  1.9999987501307412E+001                  6.9923431655460902E+001                  1.4105449166980006E+006                  1.0762783918504865E+003                  1.6848477055772685E+006                  1.1200855939144033E+005                  8.0766714076614124E+004                  1.1239471032740881E+004                  5.9924722590918400E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.4027610749249712E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     grav                                   radius                    pressure_scale_height                              temperature                                      rho                                 pressure                                     abar                                  opacity                        mlt_mixing_length                                 conv_vel                             log_conv_vel                         log_conv_vel_old                                 super_ad                       conv_vel_div_L_vel                          B_equipartition 
                                       1                  2.0000000000000000E+001                  1.8662455643328941E+000                  4.0971263728736123E+000                 -1.0599451737572151E+001                  2.0012098816568589E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0149116095287583E+002                  7.3492930380927291E+001                  5.6446450703126683E-001                  1.2506228888961312E+004                  2.5150594918700446E-011                  1.0027897395687233E+002                  1.2966440175506926E+000                  9.7451796977261973E-001                  7.8571201520724213E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.9999999999989999E+001                  1.8662453600754134E+000                  4.0971342729725837E+000                 -1.0599397218741428E+001                  2.0012536393716429E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0149125641956243E+002                  7.3492895815723458E+001                  5.6444998974112592E-001                  1.2506456387464568E+004                  2.5153752377873351E-011                  1.0028907816033060E+002                  1.2966440175506926E+000                  9.7454742714086739E-001                  7.8570535984546844E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.9999999999967091E+001                  1.8662448921927710E+000                  4.0971490685905296E+000                 -1.0599295136123811E+001                  2.0013355836113544E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0149147510078039E+002                  7.3492816638959326E+001                  5.6442260046606596E-001                  1.2506882466796247E+004                  2.5159665560742184E-011                  1.0030800284844875E+002                  1.2966440175506926E+000                  9.7460257150156715E-001                  7.8567657183231674E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.9999999999928363E+001                  1.8662441014242368E+000                  4.0971796107486771E+000                 -1.0599084506906660E+001                  2.0015047083305073E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  1.0149184469501567E+002                  7.3492682822490536E+001                  5.6436660729504418E-001                  1.2507762055716354E+004                  2.5171870749070408E-011                  1.0034707280478210E+002                  1.2966440175506928E+000                  9.7471629727004538E-001                  7.8562796399323135E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.9999999999839840E+001                  1.8662422948134925E+000                  4.0972358139649687E+000                 -1.0598697233558145E+001                  2.0018158289650168E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0149268908484760E+002                  7.3492377102754745E+001                  5.6426296081246541E-001                  1.2509380823567300E+004                  2.5194327268412124E-011                  1.0041898537026341E+002                  1.2966440175506926E+000                  9.7492521934913245E-001                  7.8551712034906189E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.9999999999694150E+001                  1.8662393240345592E+000                  4.0973543696987624E+000                 -1.0597881767340917E+001                  2.0024716544166856E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0149407760925732E+002                  7.3491874381978832E+001                  5.6404786675724716E-001                  1.2512796158850661E+004                  2.5241678603220774E-011                  1.0057074202294048E+002                  1.2966440175506924E+000                  9.7536431416474811E-001                  7.8533552367391479E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.9999999999345597E+001                  1.8662322298141107E+000                  4.0976456221890016E+000                 -1.0595886703176337E+001                  2.0040802055433296E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.0149739348255697E+002                  7.3490673898616748E+001                  5.6352768843274637E-001                  1.2521190475355241E+004                  2.5357900699157394E-011                  1.0094392922011693E+002                  1.2966440175506928E+000                  9.7643387517626534E-001                  7.8490545693189835E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.9999999998478831E+001                  1.8662146674630635E+000                  4.0983476052373469E+000                 -1.0591125336440777E+001                  2.0079423298406938E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0150560267728179E+002                  7.3487702083474531E+001                  5.6231658454974565E-001                  1.2541445789096351E+004                  2.5637440388009937E-011                  1.0184561378263868E+002                  1.2966440175506926E+000                  9.7895951135209536E-001                  7.8386188766693344E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.9999999996409645E+001                  1.8661731907011601E+000                  4.0995453055185660E+000                 -1.0583139937078606E+001                  2.0144887636018334E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0152499285476279E+002                  7.3480684065736554E+001                  5.6034948016905550E-001                  1.2576080409588591E+004                  2.6113198071104186E-011                  1.0339243501567282E+002                  1.2966440175506924E+000                  9.8311709830367822E-001                  7.8149725849060471E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
