                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     397                                     1667                  2.0000000000000000E+001                  2.0000000000000000E-002                  8.4220226176686957E+006                  4.8369195957615193E+002                  6.3717639553624385E+003                  1.2730391047743401E+005                  2.9319755949297905E+002                 -3.5758915424727902E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2099299905138637E-002                  2.9955256264807290E-001                  1.4513878706735622E-013                  6.5240800075410654E-001                  2.1322737833543164E-003                  2.0000000000000000E+001                  0.0000000000000000E+000                  8.6441434352346977E+000                  2.2497700652243600E-004                  7.5061219900989498E+000                  1.1065768807185987E+000                  9.6446351971069863E-002                  2.4511421486996348E+000                  4.1361094045947185E-002                  6.1128795928263271E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9999968909290303E+001                  2.9244210525168711E+002                  1.9999786651199617E+001                  2.8154769802061656E+002                  1.1239813372437172E+007                  2.5155759551775282E+002                  1.5710436486195149E+006                  1.2718248188407230E+005                  4.9334710293551980E+004                  3.4200870777582145E+003                  3.4712842205099878E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.6578345293702897E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     grav                                   radius                    pressure_scale_height                              temperature                                      rho                                 pressure                                     abar                                  opacity                        mlt_mixing_length                                 conv_vel                             log_conv_vel                         log_conv_vel_old                                 super_ad                       conv_vel_div_L_vel                          B_equipartition 
                                       1                  2.0000000000000000E+001                  2.4671603510197606E+000                  3.8042596860508642E+000                 -9.6675383722053461E+000                  1.9681340781676593E+000                  6.9999999999999951E-001                  2.8000000000000075E-001                  1.9999999999999796E-002                  6.3767390787691909E+000                  2.9319755949297905E+002                  9.7381630901787686E-001                  6.3717640616271501E+003                  2.1501146969870998E-010                  9.2925322749446650E+001                  1.2966440175506933E+000                  4.6794787962360015E-002                  1.3555133495005238E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.9999999999989999E+001                  2.4671603506434723E+000                  3.8042597098864919E+000                 -9.6675382084854125E+000                  1.9681342645875550E+000                  6.9999999999999951E-001                  2.8000000000000075E-001                  1.9999999999999796E-002                  6.3767390898160725E+000                  2.9319755923894218E+002                  9.7381635823087775E-001                  6.3717644113322604E+003                  2.1501155075355070E-010                  9.2925362637433807E+001                  1.2966440175506933E+000                  4.6794828283016260E-002                  1.3555133686813602E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.9999999999967091E+001                  2.4671603497814223E+000                  3.8042597545293262E+000                 -9.6675379018474441E+000                  1.9681346137413531E+000                  6.9999999999999951E-001                  2.8000000000000075E-001                  1.9999999999999796E-002                  6.3767391151237049E+000                  2.9319755865696152E+002                  9.7381644969909065E-001                  6.3717650663109634E+003                  2.1501170256466283E-010                  9.2925437345397398E+001                  1.2966440175506933E+000                  4.6794903801490630E-002                  1.3555134619451768E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.9999999999928363E+001                  2.4671603483241364E+000                  3.8042598466937774E+000                 -9.6675372688001140E+000                  1.9681353345620980E+000                  6.9999999999999951E-001                  2.8000000000000075E-001                  1.9999999999999796E-002                  6.3767391579059591E+000                  2.9319755767313006E+002                  9.7381663997957513E-001                  6.3717664185047333E+003                  2.1501201597569897E-010                  9.2925591578622431E+001                  1.2966440175506933E+000                  4.6795059708559551E-002                  1.3555136196071915E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.9999999999839840E+001                  2.4671603449932045E+000                  3.8042600163303861E+000                 -9.6675361036302068E+000                  1.9681366612870428E+000                  6.9999999999999951E-001                  2.8000000000000069E-001                  1.9999999999999796E-002                  6.3767392556937841E+000                  2.9319755542437679E+002                  9.7381698730023969E-001                  6.3717689073345591E+003                  2.1501259283282536E-010                  9.2925875457174413E+001                  1.2966440175506933E+000                  4.6795346670082900E-002                  1.3555139799795494E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.9999999999694150E+001                  2.4671603395110586E+000                  3.8042603743057124E+000                 -9.6675336448634912E+000                  1.9681394609769189E+000                  6.9999999999999951E-001                  2.8000000000000075E-001                  1.9999999999999796E-002                  6.3767394166358704E+000                  2.9319755172331242E+002                  9.7381772717322268E-001                  6.3717741593860774E+003                  2.1501381013427711E-010                  9.2926474508007871E+001                  1.2966440175506933E+000                  4.6795952235022115E-002                  1.3555145730989062E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.9999999999345597E+001                  2.4671603263956188E+000                  3.8042612545628574E+000                 -9.6675275989648206E+000                  1.9681463452130457E+000                  6.9999999999999951E-001                  2.8000000000000075E-001                  1.9999999999999796E-002                  6.3767398016723673E+000                  2.9319754286891765E+002                  9.7381954817699945E-001                  6.3717870741378138E+003                  2.1501680340453776E-010                  9.2927947547362407E+001                  1.2966440175506933E+000                  4.6797441340582592E-002                  1.3555159921152254E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.9999999998478831E+001                  2.4671602937809483E+000                  3.8042633811431310E+000                 -9.6675129939755049E+000                  1.9681629755779999E+000                  6.9999999999999951E-001                  2.8000000000000075E-001                  1.9999999999999796E-002                  6.3767407591575820E+000                  2.9319752085035356E+002                  9.7382394346981926E-001                  6.3718182745109207E+003                  2.1502403437580528E-010                  9.2931506089633302E+001                  1.2966440175506933E+000                  4.6801038981482454E-002                  1.3555195210933818E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.9999999996409645E+001                  2.4671602159246913E+000                  3.8042670281523181E+000                 -9.6674879509821121E+000                  1.9681914922671357E+000                  6.9999999999999951E-001                  2.8000000000000075E-001                  1.9999999999999796E-002                  6.3767430448232689E+000                  2.9319746828864612E+002                  9.7383138355424559E-001                  6.3718717823916941E+003                  2.1503643379821191E-010                  9.2937608368128565E+001                  1.2966440175506933E+000                  4.6807209343061158E-002                  1.3555279466456882E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
