                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                   19750                                     1435                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2440521680963764E+010                  4.6566118370684722E+004                  4.4433540232432779E+003                  8.5228535372683950E+001                  1.5600176616536270E+001                  1.3407547648912868E+000                  0.0000000000000000E+000                  5.0555206170410155E-032                  2.0522932280487415E-003                  3.2855132518263380E-001                  0.0000000000000000E+000                  6.4604709545415462E-001                  1.9439651333698392E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  3.3980889222729560E-001                  6.2941650943394332E-004                  5.1959934605754632E-001                  5.1454026130716618E-002                  3.1025112186889767E-003                  7.4089246843641002E-002                  1.9425223783768721E-003                  4.9553902546097633E-001                  1.0602514355683382E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999942992798629E-001                  1.5548989916679757E+001                  9.9999924959304509E-001                  1.5535739825336085E+001                  6.1691857157027640E+005                  1.7654889287408321E+004                  1.1733159506111889E+008                  8.5525861273920654E+001                  5.5844659309475013E+001                  2.5738992402071965E+001                  4.0120879646941683E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.9259984908705830E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                      rho                                 conv_vel                             log_conv_vel                         log_conv_vel_old                      conv_vel_div_csound                       conv_vel_div_L_vel 
                                       1                  1.0000000000000000E+000                  1.1931295152232382E+000                  3.6477109752806145E+000                 -7.9076276887865991E+000                  3.5463394046385681E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2370074385920239E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.9999999999949996E-001                  1.1931295130521775E+000                  3.6477111230660468E+000                 -7.9076266544744538E+000                  3.5463405867540709E+000                  6.9999999987604467E-001                  2.8000000012395543E-001                  1.9999999999999907E-002                  1.2370103846422146E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.9999999999873346E-001                  1.1931295097240273E+000                  3.6477113019475267E+000                 -7.9076254025356132E+000                  3.5463420175960914E+000                  6.9999999972600779E-001                  2.8000000027399252E-001                  1.9999999999999685E-002                  1.2370139505718841E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.9999999999796696E-001                  1.1931295063958849E+000                  3.6477115702701339E+000                 -7.9076235246365147E+000                  3.5463441638503528E+000                  6.9999999950095215E-001                  2.8000000049904800E-001                  1.9999999999999796E-002                  1.2370192994595661E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.9999999999643396E-001                  1.1931294997396307E+000                  3.6477121879421039E+000                 -7.9076192018138256E+000                  3.5463491044199844E+000                  6.9999999775026012E-001                  2.8000000224974025E-001                  1.9999999999999574E-002                  1.2370316123991304E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9999999999267364E-001                  1.1931294834123154E+000                  3.6477132634255445E+000                 -7.9076075160509287E+000                  3.5463577067026582E+000                  6.9999053298573133E-001                  2.8000945128493665E-001                  2.0000015729332077E-002                  1.2370648982298400E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.9999999998721745E-001                  1.1931294597218722E+000                  3.6477145368137456E+000                 -7.9075924190069840E+000                  3.5463678916682211E+000                  6.9997645314961354E-001                  2.8002351472694959E-001                  2.0000032123436817E-002                  1.2371079021097485E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.9999999998176126E-001                  1.1931294360322469E+000                  3.6477166168852841E+000                 -7.9075630849259211E+000                  3.5463845282209894E+000                  6.9994281550239545E-001                  2.8005709814053348E-001                  2.0000086357071067E-002                  1.2371914644173383E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.9999999996939215E-001                  1.1931293823318467E+000                  3.6477215230694662E+000                 -7.9074814574179104E+000                  3.5464237659329219E+000                  6.9983515807204211E-001                  2.8016460623699041E-001                  2.0000235690967427E-002                  1.2374240217065046E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
